Tag,Timestamp,Valor,Estado
"02GMOMZL LT-73710 IGU          MW ","2025-06-10 20:00:00",34.93,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-10 21:00:00",35.6,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-10 22:00:00",35.95,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-10 23:00:00",35.11,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-11 00:00:00",33.36,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-11 01:00:00",26.78,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-11 02:00:00",25.93,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-11 03:00:00",25.01,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-11 04:00:00",24.07,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-11 05:00:00",24.34,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-11 06:00:00",23.68,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-11 07:00:00",23.28,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-11 08:00:00",23.96,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-11 09:00:00",24.23,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-11 10:00:00",25.44,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-11 11:00:00",26.11,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-11 12:00:00",27.34,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-11 13:00:00",27.38,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-11 14:00:00",28.47,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-11 15:00:00",29.44,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-11 16:00:00",29.86,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-11 17:00:00",30.14,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-11 18:00:00",29.32,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-11 19:00:00",29.27,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-11 20:00:00",32.49,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-11 21:00:00",33.23,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-11 22:00:00",33.2,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-11 23:00:00",31.3,Normal
"02GMOMZL LT-73710 IGU          MW ","2025-06-12 00:00:00",29.29,Normal
"02GMOMZL LT-93230 LAT          MW","2025-06-01 00:00:00",41.68,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-01 01:00:00",42.61667,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-01 02:00:00",39.39,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-01 03:00:00",41.495,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-01 04:00:00",40.30334,Crítico
"02GMOMZL LT-93230 LAT          MW","2025-06-01 05:00:00",41.97501,Crítico
